Index, Album, Song, length, BPM
1, Vessel, Ode to Sleep, 5'08, 150
2, Vessel, Holding on to You, 4'23, 90
3, Vessel, Migraine, 3'59, 174
4, Vessel, House of Gold, 2'53, 114
5, Vessel, Car Radio, 4'27, 130
6, Vessel, Semi-Automatic, 4'14, 106
7, Vessel, Screen, 3'49, 150
8, Vessel, The Run and Go, 3'49, 92
9, Vessel, Fake You Out, 3'51, 116
10, Vessel, Guns for Hands, 4'33, 130
11, Vessel, Trees, 4'27, 140
12, Vessel, Truce, 2'22, 120
1, Trench, Jumpsuit, 3'58, 127
2, Trench, Levitate, 2'25, 92
3, Trench, Morph, 4'18, 90
4, Trench, My Blood, 3'49, 108
5, Trench, Chlorine, 5'24, 90
6, Trench, Smithereens, 2'57, 151
7, Trench, Neon Gravestones, 4'00, 149
8, Trench, The Hype, 4'25, 87
9, Trench, Nico And The Niners, 3'45, 140
10, Trench, Cut My Lip, 4'42, 111
11, Trench, Bandito, 5'30, 127
12, Trench, Pet Cheetah, 3'18, 110
13, Trench, Legend, 2'52, 85
14, Trench, Leave The City, 4'40,134
1, Blurryface, Heavydirtysoul, 3'54, 130
2, Blurryface, Stressed Out, 3'22, 85
3, Blurryface, Ride, 3'34, 74
4, Blurryface, Fairly Local, 3'27, 114
5, Blurryface, Tear in My Heart, 3'08, 120
6, Blurryface, Lane Boy, 4'13, 160
7, Blurryface, The Judge, 4'57, 82
8, Blurryface, Doubt, 3'11, 124
9, Blurryface, Polarize, 3'46, 164
10, Blurryface, We Don't Believe What's on TV, 2'57, 120
11, Blurryface, Message Man, 4'00, 120
12, Blurryface, Hometown, 3'54, 120
13, Blurryface, Not Today, 3'58, 116
14, Blurryface, Goner, 3'56, 96



